px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
-22.9281	-7.86612	4.89446	2.52976	-0.540412	lidar	1.23369	-22.9861	-7.6724	-22.9049	-7.98301	-3.93923	2.75848
-23.1192	-7.71085	4.89587	2.4791	-0.593967	radar	3.30996	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637
-23.3244	-7.56181	4.90204	2.45378	-0.588393	lidar	0.644572	-23.4777	-7.56583	-23.2911	-7.69663	-3.78118	2.967
-23.5252	-7.42138	4.90145	2.44995	-0.534223	radar	1.8665	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828
-23.6983	-7.27642	4.89049	2.42376	-0.535979	lidar	0.879492	-23.5408	-7.36069	-23.6609	-7.3898	-3.61191	3.16746
-23.888	-7.11541	4.89296	2.40531	-0.51737	radar	0.740026	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445
-24.0615	-6.99838	4.87337	2.39035	-0.510808	lidar	2.45518	-23.9384	-7.26171	-24.0132	-7.06336	-3.43189	3.35916
-24.2257	-6.80848	4.87621	2.35106	-0.533283	radar	1.62962	-24.3577	-5.94086	-24.1825	-6.89307	-3.33801	3.45149
-24.3779	-6.5983	4.88117	2.3121	-0.544194	lidar	1.22083	-24.2574	-6.4352	-24.347	-6.71823	-3.24166	3.54138
-24.5462	-6.42328	4.88264	2.27758	-0.568916	radar	3.38381	-24.788	-7.18367	-24.5066	-6.53896	-3.14289	3.62873
-24.6685	-6.25827	4.85911	2.24556	-0.57694	lidar	4.5977	-24.3008	-6.43799	-24.6612	-6.35538	-3.0418	3.71347
-24.8066	-6.0596	4.85739	2.21164	-0.583474	radar	0.484186	-24.6108	-6.00878	-24.8107	-6.16764	-2.93846	3.79553
-24.9691	-5.87573	4.86069	2.19042	-0.575242	lidar	0.932406	-25.146	-5.91902	-24.955	-5.97587	-2.83295	3.87484
-25.0961	-5.66492	4.86027	2.16	-0.570759	radar	1.8931	-24.8975	-5.02285	-25.094	-5.7802	-2.72537	3.95132
-25.2289	-5.48673	4.84958	2.13641	-0.56818	lidar	0.746226	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492
-25.3853	-5.30033	4.84992	2.1339	-0.518772	radar	1.27846	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557
-25.5181	-5.09628	4.85112	2.11011	-0.516514	lidar	0.0800067	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322
-25.6522	-4.91199	4.84157	2.10818	-0.467034	radar	6.91834	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781
-25.7699	-4.72787	4.82857	2.08781	-0.466498	lidar	0.99488	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893
-25.8894	-4.51802	4.82826	2.07033	-0.45241	radar	0.21049	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764
-25.9964	-4.29876	4.82916	2.04501	-0.454842	lidar	0.0880853	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279
-26.108	-4.08221	4.83434	1.99792	-0.522019	radar	10.6992	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471
-26.1923	-3.83539	4.84296	1.96442	-0.527781	lidar	0.881526	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337
-26.2645	-3.60248	4.8453	1.90936	-0.594189	radar	3.38307	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875
-26.3021	-3.35012	4.84531	1.86507	-0.608098	lidar	2.94459	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081
-26.347	-3.10817	4.84622	1.81552	-0.646519	radar	0.630245	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954
-26.3772	-2.86892	4.84143	1.77535	-0.654786	lidar	1.1577	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493
-26.4362	-2.64167	4.83846	1.7519	-0.639284	radar	1.27288	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696
-26.5033	-2.44616	4.82177	1.73185	-0.631315	lidar	3.29642	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562
-26.56	-2.20924	4.82319	1.71856	-0.593454	radar	0.993744	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091
-26.6035	-1.99493	4.81205	1.694	-0.590783	lidar	1.03182	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284
-26.6324	-1.75292	4.81133	1.67795	-0.555167	radar	2.20718	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141
-26.6338	-1.51337	4.80768	1.64357	-0.562045	lidar	0.791039	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664
-26.6282	-1.27808	4.80418	1.59974	-0.594955	radar	1.82549	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852
-26.629	-1.04941	4.79732	1.56953	-0.596601	lidar	0.267696	-26.5998	-1.14277	-26.6451	-1.04586	-0.161616	4.8271
-26.665	-0.819832	4.79574	1.55704	-0.572587	radar	5.07115	-27.2008	-1.67679	-26.65	-0.804425	-0.0338883	4.83238
-26.6672	-0.582563	4.79551	1.5313	-0.5699	lidar	0.136626	-26.7355	-0.59539	-26.6485	-0.562811	0.0935412	4.83439
-26.6558	-0.341948	4.79898	1.49329	-0.596375	radar	1.89229	-26.9891	0.0351487	-26.6406	-0.321181	0.220572	4.83317
-26.6122	-0.0844179	4.80804	1.45667	-0.601325	lidar	1.29066	-26.4553	0.0602653	-26.6264	-0.0796947	0.347104	4.82874
-26.5955	0.152679	4.80938	1.42764	-0.606479	radar	1.53584	-26.9537	0.136943	-26.6059	0.161489	0.473041	4.82116
-26.5642	0.409872	4.8215	1.39981	-0.602102	lidar	0.859053	-26.6201	0.57588	-26.5792	0.402213	0.598287	4.81045
-26.5562	0.647105	4.81979	1.39425	-0.55596	radar	1.71917	-26.8241	0.381506	-26.5462	0.642323	0.722748	4.79667
-26.5357	0.90252	4.83174	1.3751	-0.545797	lidar	1.75971	-26.7293	1.06082	-26.5069	0.881666	0.846334	4.77986
-26.4961	1.1543	4.83564	1.37266	-0.48395	radar	7.58559	-25.9562	2.60409	-26.4616	1.12009	0.968955	4.76007
-26.4402	1.39394	4.83763	1.34692	-0.485138	lidar	0.0711299	-26.3986	1.42212	-26.4101	1.35745	1.09053	4.73737
-26.4033	1.61661	4.82768	1.33734	-0.456139	radar	8.02226	-26.5072	-0.563928	-26.3526	1.59361	1.21096	4.71181
-26.3464	1.84447	4.82395	1.31466	-0.456502	lidar	0.0785206	-26.3594	1.79315	-26.2891	1.82841	1.33018	4.68345
-26.2782	2.07355	4.8232	1.28585	-0.470177	radar	0.214311	-26.3475	1.82827	-26.2197	2.06173	1.44811	4.65235
-26.2121	2.29128	4.81534	1.26287	-0.470623	lidar	0.357692	-26.2502	2.18481	-26.1444	2.29342	1.56467	4.61859
-26.1495	2.52237	4.81334	1.25474	-0.436159	radar	0.76047	-26.069	2.27896	-26.0633	2.52336	1.67979	4.58223
-26.0716	2.75628	4.81707	1.23322	-0.435463	lidar	0.0736519	-26.0641	2.80701	-25.9765	2.75141	1.79339	4.54334
-25.9777	2.97576	4.81863	1.18838	-0.491007	radar	2.92264	-26.3234	3.02388	-25.8841	2.97746	1.90543	4.502
-25.8809	3.22202	4.83339	1.16464	-0.488594	lidar	1.1582	-25.8345	3.42005	-25.7861	3.20139	2.01582	4.45828
-25.803	3.44805	4.83466	1.14533	-0.486371	radar	2.1038	-26.1824	3.73376	-25.6826	3.42306	2.12452	4.41227
-25.6966	3.66304	4.83293	1.11938	-0.488147	lidar	0.0477075	-25.6666	3.63509	-25.5737	3.64239	2.23146	4.36404
-25.578	3.86982	4.82989	1.08735	-0.501837	radar	1.0745	-25.5773	3.13316	-25.4596	3.85924	2.3366	4.31367
-25.4944	4.07562	4.82128	1.07085	-0.494495	lidar	1.97956	-25.7492	3.99968	-25.3402	4.07353	2.43989	4.26125
-25.3701	4.27959	4.819	1.04291	-0.498968	radar	0.569058	-25.3516	3.75691	-25.2157	4.28514	2.54127	4.20686
-25.2218	4.48832	4.82474	1.01104	-0.505046	lidar	1.16777	-25.0214	4.52803	-25.0863	4.49399	2.64071	4.15058
-25.0633	4.68434	4.82319	0.987936	-0.48342	radar	8.90446	-24.2719	4.30917	-24.9518	4.69998	2.73817	4.09251
-24.9401	4.88541	4.82158	0.96743	-0.480021	lidar	0.259859	-25.0363	4.88499	-24.8126	4.90303	2.83361	4.03273
-24.78	5.07511	4.82189	0.937604	-0.483341	radar	2.20545	-24.3609	4.95947	-24.6686	5.10304	2.92701	3.97132
