time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1708	1.45052	5.14116	0.261325	0.201244	radar	4.21019	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4181	1.51794	5.14098	0.271341	0.201205	lidar	0.00355847	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6527	1.61255	4.90224	0.292509	0.211663	radar	2.4288	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8865	1.68366	4.90197	0.302859	0.211469	lidar	0.00862696	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1778	1.67776	5.05895	0.284107	0.186986	radar	2.27923	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.42	1.74921	5.059	0.293283	0.186846	lidar	0.00512348	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6414	1.75965	4.97198	0.284592	0.172791	radar	0.96727	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8791	1.83015	4.97183	0.293153	0.172729	lidar	0.0019105	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1362	1.96075	5.16494	0.316546	0.1836	radar	1.08697	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3808	2.04123	5.16469	0.325442	0.183381	lidar	0.00778256	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6381	2.05249	5.25773	0.312084	0.16574	radar	1.10842	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8871	2.1345	5.25753	0.320476	0.16582	lidar	0.00984503	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1523	2.31237	5.41466	0.353019	0.183466	radar	1.4741	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.405	2.40723	5.41442	0.36226	0.183518	lidar	0.0112177	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5062	2.65448	5.00727	0.424815	0.225538	radar	12.2808	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7334	2.75819	5.0072	0.435901	0.225397	lidar	0.0031589	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9466	2.8411	4.97122	0.441938	0.221775	radar	0.279552	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1702	2.94852	4.97124	0.453007	0.221761	lidar	0.000185863	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4384	3.02233	5.17955	0.448926	0.209266	radar	1.32775	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6705	3.13492	5.17909	0.459153	0.209097	lidar	0.0106285	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.876	3.39526	5.28974	0.507127	0.235421	radar	2.30283	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.1057	3.52494	5.28967	0.518899	0.235422	lidar	0.000742749	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3033	3.74899	5.13961	0.55874	0.257239	radar	1.91524	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5198	3.8862	5.13951	0.571522	0.257182	lidar	0.000362462	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7442	3.90891	5.06305	0.555643	0.237311	radar	1.4681	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.958	4.04338	5.06298	0.56744	0.237264	lidar	0.000243668	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1625	4.17811	4.88885	0.582083	0.240834	radar	1.19606	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.365	4.31443	4.88912	0.59433	0.240978	lidar	0.00203291	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.592	4.45609	4.96482	0.603835	0.238596	radar	0.439953	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7945	4.59885	4.96493	0.615961	0.238732	lidar	0.00466619	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.9355	4.79917	4.63257	0.65259	0.259477	radar	3.54841	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.1174	4.94274	4.6332	0.666038	0.259801	lidar	0.00970939	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
